r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,0,5128484,14968,2323336,0,0,0,48,11735,16593,3,5,92,0,0
0,0,0,5128344,14968,2323248,0,0,0,32,8489,13836,3,2,94,0,0
0,0,0,5128604,14968,2323208,0,0,0,28,11455,16900,2,3,95,0,0
0,0,0,5128556,14968,2323204,0,0,0,0,14362,19040,2,3,95,0,0
0,0,0,5128508,14968,2323236,0,0,0,24,8116,13713,1,2,97,0,0
0,0,0,5129192,14976,2323252,0,0,0,12,7675,12435,1,2,96,0,0
0,0,0,5129200,14984,2323176,0,0,0,60,9808,13788,1,4,95,0,0
0,0,0,5131240,14984,2323048,0,0,0,0,10513,15233,2,3,95,0,0
0,0,0,5131892,14992,2323104,0,0,0,00,9943,14653,2,3,95,0,0
0,0,0,5131860,14992,2323184,0,0,0,0,10866,14196,1,3,96,0,0
0,0,0,5131592,14992,2323044,0,0,0,28,11456,15205,1,3,96,0,0
0,0,0,5128284,14992,2323112,0,0,0,32,12672,17524,3,5,91,0,0
0,0,0,5128188,14992,2323116,0,0,0,24,12179,17966,2,2,95,0,0
0,0,0,5128252,14992,2322960,0,0,0,0,10746,16027,2,2,96,0,0
0,0,0,5128504,15008,2322948,0,0,0,60,12637,16348,2,3,95,0,0
0,0,0,5127968,15008,2322980,0,0,0,0,13608,17945,1,4,95,0,0
0,0,0,5127936,15008,2322976,0,0,0,32,11763,15717,1,2,96,0,0
0,0,0,5127516,15008,2322924,0,0,0,0,8937,15163,1,2,96,0,0
0,0,0,5128156,15016,2322924,0,0,0,80,8100,12426,2,3,95,0,0
0,0,0,5128124,15016,2322824,0,0,0,24,9319,14280,2,2,96,0,0
0,0,0,5128084,15016,2322804,0,0,0,24,11406,15339,2,3,95,0,0
0,0,0,5128932,15016,2322764,0,0,0,32,11000,17314,2,3,94,0,0
0,0,0,5129136,15024,2322856,0,0,0,48,10173,15432,3,5,93,0,0
0,0,0,5128988,15024,2322848,0,0,0,0,11116,16339,2,2,95,0,0
0,0,0,5128956,15024,2322724,0,0,0,24,13234,17444,2,3,96,0,0
1,0,0,5130016,15024,2322720,0,0,0,0,10343,14302,2,3,95,0,0
0,0,0,5130704,15024,2322764,0,0,0,44,11819,16637,2,3,95,0,0
1,0,0,5131160,15032,2322684,0,0,0,12,8603,13613,2,3,95,0,0
0,0,0,5131512,15040,2322660,0,0,0,76,10472,14212,2,4,94,0,0
0,0,0,5131356,15040,2322704,0,0,0,44,7609,11969,2,2,96,0,0
0,0,0,5130836,15040,2322616,0,0,0,32,13742,17803,2,3,95,0,0
1,0,0,5131048,15048,2322656,0,0,0,56,8803,13294,2,2,96,0,0
0,0,0,5130672,15048,2322568,0,0,0,24,7464,11826,2,2,96,0,0
0,0,0,5129464,15048,2322640,0,0,0,0,11930,16817,3,4,92,0,0
1,0,0,5129188,15048,2322532,0,0,0,28,13041,18477,2,4,95,0,0
0,0,0,5129676,15048,2322540,0,0,0,0,11960,15577,1,3,95,0,0
0,0,0,5129676,15064,2322560,0,0,0,72,10629,15505,1,2,97,0,0
1,0,0,5128244,15064,2322528,0,0,0,0,8905,13598,2,3,95,0,0
0,0,0,5128304,15064,2322492,0,0,0,56,11396,16848,2,2,96,0,0
0,0,0,5128160,15064,2322388,0,0,0,28,8827,13792,2,3,95,0,0
0,0,0,5129396,15072,2322416,0,0,0,44,12284,16349,1,3,96,0,0
0,0,0,5129348,15072,2322412,0,0,0,32,10287,16952,2,3,95,0,0
3,0,0,5130272,15072,2322368,0,0,0,28,8688,11444,2,4,94,0,0
